Feature ID,Feature,User Story ID,User Story,Task,Short Description
2880487,4.4 Model Development & Validation,2932058,4.4.3 Evaluate and Select Final Churn Model,Compare model performance and business suitability,"Compare models consistently across technical performance, stability and business/operational considerations."
2880487,4.4 Model Development & Validation,2932058,4.4.3 Evaluate and Select Final Churn Model,Select and document final model,Select the preferred churn model and document the rationale and key trade-offs.
2880487,4.4 Model Development & Validation,2932060,4.4.4 Implement Model Explainability and Risk Drivers,Implement global and account-level explainability,Produce global feature importance and account-level explanations for churn-risk predictions.
2880487,4.4 Model Development & Validation,2932060,4.4.4 Implement Model Explainability and Risk Drivers,Generate churn drivers and risk bands,Create interpretable churn/risk drivers and define/validate risk bands from model scores.
2880487,4.4 Model Development & Validation,2932060,4.4.4 Implement Model Explainability and Risk Drivers,Review model results and drivers with Business SME,"Review model performance, explainability outputs and risk bands with the Business SME and capture feedback/sign-off."
2880498,4.5 MLOps & Model Operationalisation,2932069,4.5.1 Register and Manage Approved ML Model,Register and version approved model,Register the selected model in the governed MLflow/Unity Catalog registry with traceable model versions.
2880498,4.5 MLOps & Model Operationalisation,2932069,4.5.1 Register and Manage Approved ML Model,Configure Champion/Candidate promotion and metadata,"Define promotion/aliasing and capture the required model, experiment and training metadata."
2880498,4.5 MLOps & Model Operationalisation,2932069,4.5.1 Register and Manage Approved ML Model,Validate promotion and rollback process,Test model promotion and document/test how scoring can revert to a prior approved model version.
2880498,4.5 MLOps & Model Operationalisation,2932090,4.5.2 Build and Schedule Churn Scoring Pipeline,Build batch-scoring pipeline and output schema,Build the batch-scoring workflow and define the required account-level scoring output schema.
2880498,4.5 MLOps & Model Operationalisation,2932090,4.5.2 Build and Schedule Churn Scoring Pipeline,"Generate predictions, risk bands and model metadata","Generate churn probability, predicted churn, risk bands, risk drivers, scoring date and model-version metadata."
2880498,4.5 MLOps & Model Operationalisation,2932090,4.5.2 Build and Schedule Churn Scoring Pipeline,Validate and schedule scoring job,Validate scoring outputs and configure the Databricks job/workflow according to the approved refresh schedule.
2880498,4.5 MLOps & Model Operationalisation,2932106,4.5.3 Implement Model Monitoring and Validation,Implement prediction and feature-drift monitoring,Monitor prediction distributions and important model inputs for material changes over time.
2880498,4.5 MLOps & Model Operationalisation,2932106,4.5.3 Implement Model Monitoring and Validation,Implement performance monitoring and backtesting,Backtest the model and calculate realised performance once actual churn outcomes become available.
2880498,4.5 MLOps & Model Operationalisation,2932106,4.5.3 Implement Model Monitoring and Validation,Define retraining criteria and monitoring actions,"Document retraining triggers, monitoring thresholds, review ownership and required actions."
2880498,4.5 MLOps & Model Operationalisation,2932115,4.5.4 Publish ML Outputs for Downstream Consumption,Publish ML output table or interface,Publish approved account-level churn prediction outputs in the agreed Databricks table/view/interface.
2880498,4.5 MLOps & Model Operationalisation,2932115,4.5.4 Publish ML Outputs for Downstream Consumption,Enable Power BI and downstream consumption,Provide the agreed output source/interface for Power BI and other approved downstream consumers.
2880498,4.5 MLOps & Model Operationalisation,2932115,4.5.4 Publish ML Outputs for Downstream Consumption,Validate downstream integration,"Validate output schema, account-level predictions, accessibility and downstream operational use."
