member_id,member_age,membership_tenure_years,annual_contribution_amount,super_balance,investment_return_percent,withdrawal_frequency_per_year,portal_login_frequency,customer_support_calls,insurance_opt_in,investment_plan_type,employer_category,mobile_app_usage,financial_adviser_interaction,risk_profile,churn
MSA100069,65,4,10091.96,2799463.69,-7.4,7,25,1,Yes,Conservative,Private,High,7,Low Risk,0
MSA100070,43,22,33008.31,3561015.02,-0.76,5,49,13,Yes,Balanced,Government,Low,1,Medium Risk,1
MSA100071,60,18,32363.56,3140792.4,17.01,10,6,4,Yes,Balanced,Private,Low,1,Low Risk,0
MSA100072,44,12,12104.05,3133893.94,7.24,7,26,9,Yes,Balanced,Self Employed,Medium,7,Medium Risk,0
MSA100073,37,2,31130.28,513759.14,12.28,1,8,11,No,Growth,Government,Medium,8,Low Risk,1
MSA100074,43,10,35463.34,1435123.32,7.22,5,35,6,Yes,Growth,Corporate,High,9,Low Risk,0
MSA100075,52,4,24588.29,3018350.48,-4.17,5,27,7,Yes,High Growth,SME,Medium,0,Medium Risk,0
MSA100076,69,14,27300.3,222081.18,7.84,2,25,9,Yes,Balanced,Corporate,Low,1,Low Risk,0
MSA100077,50,16,18380.7,1405565.06,12.66,9,18,14,Yes,High Growth,Private,Medium,3,Medium Risk,0
MSA100078,45,15,18189.0,1386813.94,-5.85,8,54,7,Yes,Growth,SME,Low,2,Low Risk,0
MSA100079,74,8,31246.6,1489940.75,14.51,3,1,12,Yes,Conservative,Corporate,High,0,Medium Risk,0
MSA100080,47,14,40197.0,2866479.02,6.66,3,48,11,Yes,Balanced,Corporate,Low,3,Low Risk,0
MSA100081,53,23,33919.86,3076102.75,-9.87,1,39,7,Yes,Conservative,Corporate,Medium,1,Low Risk,0
MSA100082,55,8,31045.17,4756275.07,5.59,4,3,14,No,Growth,SME,Medium,9,Medium Risk,0
MSA100083,54,21,24581.19,1989184.69,1.87,6,55,9,Yes,Balanced,Corporate,Medium,4,Medium Risk,0
MSA100084,74,16,19591.01,4664569.64,-1.11,5,4,11,Yes,High Growth,Corporate,Medium,0,Medium Risk,1
MSA100085,70,13,29173.6,3520615.01,13.14,10,41,10,Yes,High Growth,Private,High,7,Medium Risk,0
MSA100086,58,18,21554.39,4691911.96,16.98,2,37,2,Yes,Growth,Corporate,Low,9,Low Risk,0
MSA100087,44,15,29499.03,4322250.9,12.88,6,51,13,Yes,Conservative,Corporate,Medium,1,Medium Risk,0
MSA100088,74,21,29088.5,3644402.09,15.4,9,15,10,Yes,Growth,Self Employed,Low,2,Medium Risk,0
MSA100089,30,24,33558.54,2006891.2,17.26,5,8,1,Yes,Conservative,SME,High,2,Low Risk,0
MSA100090,54,13,26523.56,1393317.72,17.38,1,38,12,No,Growth,Self Employed,Low,3,Medium Risk,0
MSA100091,36,9,29911.58,1219054.61,-6.56,3,50,3,Yes,High Growth,Private,Medium,6,Medium Risk,0
MSA100092,38,15,22108.4,4857304.5,3.69,4,19,14,Yes,Conservative,Self Employed,Low,8,Low Risk,0
MSA100093,53,13,17962.1,4808985.52,-9.99,10,56,0,No,Growth,Government,Medium,2,Medium Risk,0
MSA100094,30,1,14082.35,3663031.3,5.19,9,47,2,Yes,Balanced,SME,Medium,0,Low Risk,0
MSA100095,73,7,17244.84,4448457.12,17.73,10,26,10,Yes,High Growth,Corporate,High,9,High Risk,0
MSA100096,37,9,29275.64,4679088.01,-4.03,8,39,8,Yes,High Growth,Self Employed,High,0,Medium Risk,0
MSA100097,53,24,15771.36,2661408.17,9.19,4,10,6,No,Balanced,Self Employed,Low,5,Low Risk,0
MSA100098,40,1,30675.46,3196147.47,9.33,9,38,6,No,Growth,Corporate,Low,4,High Risk,0
MSA100099,46,12,39793.8,2270189.76,-5.19,10,14,0,Yes,Conservative,Corporate,Medium,9,Medium Risk,0
MSA100100,37,8,34680.62,2288536.28,-2.84,4,49,6,No,High Growth,Private,Medium,6,Medium Risk,0
MSA100101,64,24,26743.69,317757.15,3.86,3,41,9,Yes,Growth,Self Employed,Medium,6,Medium Risk,0
MSA100102,64,11,34023.77,2427830.23,-4.35,6,19,6,No,Balanced,Self Employed,Medium,2,High Risk,0
MSA100103,62,19,17818.57,3551470.57,7.55,3,30,3,Yes,Conservative,Government,High,6,Low Risk,0
MSA100104,34,17,18865.41,2157251.72,4.54,1,5,6,No,Growth,Government,Medium,8,Medium Risk,0
MSA100105,71,8,40209.01,4484428.9,5.58,10,55,7,No,Growth,Self Employed,High,7,High Risk,0
MSA100106,68,3,32429.38,1747687.61,-5.97,9,31,2,Yes,High Growth,Government,Low,2,Medium Risk,0
MSA100107,70,3,27774.47,930181.13,5.52,2,7,12,No,High Growth,Self Employed,Low,9,Low Risk,1
MSA100108,57,1,23198.51,4204556.52,-8.52,5,19,9,Yes,Conservative,SME,High,4,Medium Risk,1
MSA100109,36,5,28723.39,3398910.2,16.45,8,31,1,Yes,Growth,Private,Medium,7,High Risk,0
MSA100110,38,10,30808.6,1413329.44,0.3,7,52,6,Yes,Balanced,Government,Low,1,High Risk,0
MSA100111,37,7,26720.05,2788342.72,15.69,5,58,4,Yes,Balanced,Self Employed,High,6,High Risk,0
MSA100112,41,9,36938.23,2128692.08,11.05,8,39,4,No,Conservative,Government,Low,9,Medium Risk,0
MSA100113,63,7,29670.86,4872156.89,12.99,9,24,13,No,Growth,Private,Medium,9,Low Risk,0
MSA100114,62,9,28128.12,3077027.85,-0.56,9,34,4,Yes,High Growth,SME,High,6,Medium Risk,0
MSA100115,52,8,26867.92,1012527.84,-3.17,4,57,14,Yes,Growth,Corporate,Low,7,Medium Risk,1
MSA100116,53,12,29281.24,2713043.84,2.2,3,23,6,Yes,High Growth,Corporate,Medium,0,Medium Risk,0
MSA100117,66,2,42068.9,4496053.32,-9.27,9,48,8,Yes,Balanced,Government,High,7,Medium Risk,0
MSA100118,64,1,35069.31,3462508.52,17.56,2,45,10,Yes,Conservative,Self Employed,High,0,Medium Risk,0
MSA100119,73,16,28405.85,4418723.78,1.61,7,40,7,No,Conservative,Private,High,2,Medium Risk,0
MSA100120,69,23,20298.27,1302909.6,19.66,2,6,5,Yes,Conservative,SME,High,8,Medium Risk,0
MSA100121,51,23,20519.13,4592522.32,12.84,5,38,6,Yes,High Growth,SME,Low,3,Medium Risk,0
MSA100122,56,24,20874.54,3899262.09,-7.58,5,41,8,Yes,Balanced,SME,High,9,Low Risk,0
MSA100123,64,5,36128.07,3726876.09,9.81,2,36,13,Yes,Balanced,Corporate,High,8,High Risk,0
MSA100124,30,3,34864.22,1884161.3,-1.87,9,27,10,No,Conservative,Private,High,0,Low Risk,0
MSA100125,64,12,20430.36,4660562.42,-2.69,1,11,5,No,Conservative,Corporate,High,7,Low Risk,0
MSA100126,66,8,19671.29,3417689.92,-2.3,9,5,0,Yes,High Growth,Government,High,2,Medium Risk,0
MSA100127,43,22,19860.14,4293356.41,17.48,9,57,3,Yes,High Growth,SME,Medium,6,Medium Risk,0
MSA100128,32,3,22084.8,1989333.71,5.0,4,17,7,Yes,Growth,Private,Low,1,High Risk,0
MSA100129,30,1,21802.25,992893.85,10.08,7,52,6,No,High Growth,SME,Medium,6,High Risk,0
MSA100130,34,3,36513.78,1870109.04,-1.57,3,7,2,No,Growth,Corporate,Low,6,Medium Risk,1
MSA100131,55,5,24310.61,2469707.52,5.69,8,27,9,Yes,Conservative,Corporate,High,8,Medium Risk,0
MSA100132,43,15,31312.95,2935020.51,0.5,6,47,2,Yes,Balanced,Corporate,Low,1,Medium Risk,0
MSA100133,68,14,18947.59,2749352.62,-0.37,4,57,10,Yes,High Growth,SME,High,7,Medium Risk,0
MSA100134,56,3,16810.85,2947186.23,-2.59,5,15,2,Yes,Balanced,Private,High,4,Medium Risk,0
MSA100135,38,1,27023.82,4270013.54,2.27,7,46,11,Yes,High Growth,Private,Medium,9,Medium Risk,0
MSA100136,44,5,29129.78,1074170.17,9.8,9,13,14,Yes,High Growth,Government,Medium,8,High Risk,0
MSA100137,44,23,14673.75,1643956.91,-3.34,2,11,0,Yes,Growth,SME,Medium,7,Low Risk,0
MSA100138,55,14,37680.99,4587463.03,18.96,6,45,14,Yes,High Growth,Government,Low,2,Medium Risk,0
MSA100139,71,7,16070.7,2916108.11,-6.26,3,26,9,No,Conservative,Government,Low,2,Medium Risk,1
MSA100140,42,9,35115.86,3074606.86,4.41,8,22,0,No,Balanced,Government,Medium,9,Medium Risk,0
MSA100141,61,15,36167.87,2460672.6,-7.45,2,28,5,Yes,High Growth,Government,Medium,7,High Risk,0
MSA100142,68,15,25154.27,2880915.44,-9.32,7,24,13,Yes,Balanced,Corporate,High,8,Medium Risk,0
MSA100143,61,10,26259.04,1090581.67,17.68,3,29,13,No,Balanced,Government,Low,1,Medium Risk,0
MSA100144,33,13,19181.19,2935344.15,14.31,6,9,0,No,Balanced,Private,High,2,Low Risk,0
MSA100145,59,19,33291.76,5042488.98,10.82,9,42,4,Yes,High Growth,Government,Low,7,Medium Risk,0
MSA100146,66,7,20020.79,3042864.49,15.96,8,4,3,No,Growth,Corporate,Medium,1,Low Risk,0
MSA100147,52,17,28968.01,397781.2,14.09,8,49,4,Yes,Balanced,Self Employed,Low,7,High Risk,0
MSA100148,68,20,33906.22,4145828.44,9.42,6,46,6,No,Balanced,Self Employed,Low,4,Medium Risk,0
MSA100149,74,4,36944.17,2057668.37,15.42,9,56,5,No,High Growth,Self Employed,High,5,Medium Risk,0
MSA100150,44,5,20435.23,829945.94,1.72,6,18,11,Yes,High Growth,SME,Medium,9,High Risk,0
MSA100151,72,23,28811.4,4568728.04,6.58,9,43,8,No,Conservative,Private,Medium,3,Low Risk,0
MSA100152,58,7,18702.95,1212864.61,13.29,6,16,5,Yes,Conservative,Corporate,Medium,2,High Risk,0
MSA100153,65,13,21533.87,4723159.58,-7.46,6,33,8,No,Growth,Self Employed,High,7,Medium Risk,0
MSA100154,42,15,25256.62,2266492.63,15.76,3,29,3,No,Growth,Corporate,High,8,Medium Risk,0
MSA100155,61,11,27477.4,3769520.63,-5.3,6,39,0,No,Growth,Corporate,High,7,Low Risk,0
MSA100156,36,4,25967.6,2781851.46,15.94,2,10,0,No,Growth,SME,Low,8,Low Risk,0
MSA100157,51,13,29007.32,1424343.68,-0.66,9,9,9,No,Balanced,Self Employed,Low,0,Medium Risk,1
MSA100158,57,7,21431.63,3481400.36,-0.2,7,59,6,Yes,High Growth,Government,High,4,High Risk,0
MSA100159,31,19,26004.42,4837806.13,-7.78,10,31,12,Yes,Conservative,Corporate,High,6,High Risk,0
MSA100160,71,22,16613.41,3979621.99,16.58,2,28,12,No,Balanced,Self Employed,Medium,7,Medium Risk,0
MSA100161,74,2,12612.96,3086191.08,-4.76,3,57,12,Yes,High Growth,Corporate,Low,1,Medium Risk,1
MSA100162,35,10,17422.34,5184365.14,8.9,9,3,2,Yes,High Growth,SME,Low,3,High Risk,0
MSA100163,57,13,35428.88,1456205.0,9.32,5,54,1,Yes,Balanced,SME,Medium,6,Medium Risk,0
MSA100164,57,21,34711.05,562821.37,-1.57,5,55,13,Yes,Balanced,Government,Medium,4,Medium Risk,0
MSA100165,73,6,15062.39,353765.79,19.57,9,14,5,Yes,Conservative,SME,Medium,0,Medium Risk,0
MSA100166,73,12,19711.21,3717520.0,-8.08,6,58,5,No,Growth,Self Employed,High,1,High Risk,0
MSA100167,49,12,31306.01,4390218.21,8.24,3,25,12,Yes,Growth,SME,High,4,Medium Risk,0
MSA100168,59,20,15348.34,3352604.66,4.39,9,15,6,Yes,Conservative,Government,High,5,Low Risk,0
MSA100169,40,11,34813.37,4613234.66,-2.64,1,2,4,Yes,Conservative,Private,High,0,Medium Risk,0
MSA100170,57,23,23016.98,3672459.43,-5.09,9,24,7,Yes,Growth,Corporate,High,2,High Risk,0
MSA100171,54,7,26692.43,1980217.5,12.11,1,14,6,Yes,Balanced,Corporate,Low,5,Low Risk,0
MSA100172,68,1,25919.6,1003656.54,17.49,7,48,1,Yes,Growth,Self Employed,Low,5,High Risk,0
MSA100173,62,1,29367.05,4655782.02,-6.77,2,7,14,Yes,High Growth,Government,Low,6,Low Risk,1
MSA100174,30,20,28895.92,625744.89,-4.18,7,36,0,Yes,High Growth,Government,Medium,9,Medium Risk,0
MSA100175,56,13,22280.52,2926890.6,19.59,1,50,12,Yes,Conservative,Government,Low,2,Low Risk,0
MSA100176,42,9,9947.26,1695789.23,-9.55,9,24,13,No,Growth,Corporate,Medium,0,Low Risk,0
MSA100177,70,3,35343.8,1559129.29,5.25,5,27,8,No,Growth,SME,Low,6,Medium Risk,0
MSA100178,32,7,33496.23,3275430.52,5.48,2,37,4,Yes,High Growth,Corporate,High,2,Medium Risk,0
MSA100179,68,6,7561.88,1393915.84,-2.11,7,38,11,Yes,Growth,Corporate,Low,4,Medium Risk,1
MSA100180,35,8,18724.08,4759344.28,9.89,5,30,10,No,Conservative,Corporate,High,3,Medium Risk,0
MSA100181,37,9,35222.03,2190466.35,18.35,3,27,4,Yes,Conservative,SME,High,0,Medium Risk,0
MSA100182,56,5,24649.59,3579780.97,3.51,1,39,11,Yes,High Growth,Private,Low,6,Medium Risk,0
MSA100183,38,1,30155.21,3839749.8,12.48,5,15,9,Yes,Growth,Self Employed,Low,3,Medium Risk,1
MSA100184,66,19,29916.15,3573360.39,9.38,2,26,3,No,Growth,Private,High,0,Medium Risk,0
MSA100185,62,10,34196.32,4768363.19,4.19,2,1,1,No,High Growth,Private,Medium,5,Medium Risk,0
MSA100186,71,12,39579.07,1380886.77,-8.51,3,56,4,Yes,Balanced,Corporate,Medium,3,Medium Risk,0
MSA100187,73,24,40661.39,644469.0,12.25,7,4,1,Yes,Balanced,Private,Low,3,High Risk,0
MSA100188,53,15,15646.42,477319.2,0.9,6,29,11,Yes,Growth,Corporate,High,1,Low Risk,0
MSA100189,44,22,41690.14,4431953.54,-3.27,2,57,6,Yes,Conservative,Corporate,Medium,0,Low Risk,0
MSA100190,61,24,25139.51,4897688.9,18.45,10,1,10,Yes,Balanced,Self Employed,Low,2,High Risk,1
MSA100191,61,9,30976.58,1790509.38,13.21,9,43,8,No,Growth,Government,Low,9,Low Risk,0
MSA100192,53,20,31082.55,3660101.92,18.87,3,50,8,Yes,Balanced,Corporate,High,4,Medium Risk,0
MSA100193,70,17,20298.72,213944.28,-2.31,2,46,10,Yes,High Growth,Private,Medium,8,Low Risk,0
MSA100194,41,17,39468.51,1103606.98,15.07,9,22,5,Yes,Balanced,Self Employed,Low,6,Medium Risk,0
MSA100195,68,20,18346.85,3650389.19,8.23,5,11,0,Yes,Balanced,Private,Medium,3,High Risk,0
MSA100196,31,12,26260.25,396718.34,19.45,4,10,12,Yes,High Growth,Government,Low,7,Medium Risk,0
MSA100197,32,7,33706.16,2459279.75,18.39,5,59,5,Yes,Conservative,SME,Low,3,Low Risk,0
MSA100198,66,2,36771.91,3446563.16,19.19,8,17,4,Yes,Growth,Government,Medium,5,Medium Risk,0
MSA100199,46,3,17411.87,3945738.95,18.55,3,36,3,Yes,Conservative,Self Employed,Medium,0,Low Risk,0
MSA100200,31,17,23192.68,2535384.77,-9.77,8,56,11,Yes,Conservative,Government,High,5,Medium Risk,0
MSA100201,31,5,32164.29,3387709.0,12.23,8,47,5,No,Balanced,Government,High,9,Medium Risk,0
MSA100202,57,17,22812.3,2884660.37,-1.84,6,26,5,No,Growth,Self Employed,High,4,Low Risk,0
MSA100203,52,24,32137.97,456139.57,11.15,9,48,13,No,Balanced,Self Employed,High,1,Low Risk,0
MSA100204,66,17,20733.05,3967612.2,19.42,2,21,5,No,High Growth,Private,Medium,0,Medium Risk,0
MSA100205,61,17,24227.23,1003139.48,-8.82,6,13,1,Yes,Conservative,Corporate,High,5,High Risk,0
MSA100206,62,2,37369.11,233778.38,7.01,5,9,14,No,Conservative,SME,Medium,1,Medium Risk,1
MSA100207,30,2,26999.98,2385835.19,12.05,5,11,13,No,High Growth,SME,Low,8,Medium Risk,1
MSA100208,48,22,30534.89,4545659.06,-2.4,3,11,6,No,Growth,SME,Medium,8,Medium Risk,0
MSA100209,31,23,30396.43,909403.72,-3.25,4,6,13,Yes,Conservative,Government,High,0,Low Risk,1
MSA100210,73,5,27517.81,164974.79,-8.19,2,1,3,Yes,Conservative,Self Employed,Medium,4,Medium Risk,0
MSA100211,55,1,7983.18,687156.22,-7.18,3,54,12,No,Growth,Self Employed,Medium,7,Low Risk,1
MSA100212,61,1,14691.89,2054600.62,9.7,3,6,14,No,Balanced,Self Employed,Medium,3,Medium Risk,1
MSA100213,35,19,26465.96,3013657.76,5.16,7,13,11,No,High Growth,Corporate,Medium,2,Low Risk,0
MSA100214,61,2,25853.13,1043723.06,-9.1,1,22,8,Yes,Growth,Self Employed,Medium,4,Medium Risk,0
MSA100215,33,21,29418.25,4071621.82,19.09,7,56,9,No,High Growth,Self Employed,High,4,Medium Risk,0
MSA100216,40,12,16403.61,3862660.75,9.68,3,31,1,Yes,High Growth,Government,Medium,7,Medium Risk,0
MSA100217,46,6,29220.37,3665291.9,5.46,2,22,4,Yes,Conservative,Private,High,5,Medium Risk,0
MSA100218,67,23,21251.04,2629272.55,-1.82,4,37,13,No,Growth,SME,Low,1,Medium Risk,1
MSA100219,53,4,32082.86,1948895.93,9.74,3,47,3,Yes,High Growth,Government,Medium,0,Medium Risk,0
MSA100220,34,23,26114.84,2010520.77,0.93,6,27,8,No,Balanced,Government,Low,2,Low Risk,0
MSA100221,63,11,8250.83,2594355.15,11.07,4,50,3,Yes,High Growth,Government,High,1,Low Risk,0
MSA100222,35,24,12832.71,645988.7,10.48,10,52,7,No,Conservative,SME,Medium,3,High Risk,0
MSA100223,51,17,39062.08,3519865.04,-7.22,10,14,7,Yes,Balanced,Government,Low,2,High Risk,0
MSA100224,40,6,15526.82,1953863.34,17.28,5,47,5,Yes,Balanced,Private,High,8,Medium Risk,0
MSA100225,45,24,28743.6,1379535.95,4.61,8,58,5,Yes,Growth,Self Employed,Low,4,Medium Risk,0
MSA100226,62,5,16597.61,1458657.0,1.79,1,5,10,No,Balanced,Private,Medium,3,High Risk,0
MSA100227,38,20,39824.91,1006620.71,18.66,6,58,7,No,Growth,Self Employed,Medium,9,Medium Risk,0
MSA100228,35,2,31409.01,4703364.02,3.15,8,36,11,Yes,Growth,Self Employed,Medium,8,High Risk,0
MSA100229,45,6,30917.24,1091006.71,11.64,3,32,12,Yes,Balanced,Government,High,3,Low Risk,0
MSA100230,58,22,19997.97,4485766.29,9.65,2,34,11,Yes,Growth,Government,Low,5,Medium Risk,0
MSA100231,32,11,27104.46,2935405.81,-5.05,2,7,9,No,Growth,SME,High,9,Low Risk,1
MSA100232,49,16,23739.74,4489419.23,19.73,5,42,8,No,Balanced,Corporate,Low,0,Medium Risk,0
MSA100233,65,16,25635.54,2404943.87,3.91,6,48,14,Yes,Conservative,Private,High,1,Low Risk,0
MSA100234,48,1,19302.29,4781517.91,1.84,4,10,4,No,High Growth,SME,Medium,3,Medium Risk,0
MSA100235,55,9,20264.75,1293240.18,17.59,5,50,10,No,Growth,SME,Low,8,Medium Risk,0
MSA100236,32,6,24830.06,2959390.18,5.88,5,17,0,No,Growth,Private,Low,5,Low Risk,0
MSA100237,48,16,31442.71,793720.52,11.15,8,30,0,Yes,Balanced,Private,Low,5,Medium Risk,0
MSA100238,49,3,24785.02,2273503.41,15.39,2,21,14,Yes,High Growth,Self Employed,High,8,Low Risk,0
MSA100239,61,20,13884.42,3095752.3,-2.94,8,13,1,Yes,High Growth,Corporate,Medium,3,High Risk,0
MSA100240,36,4,37106.26,3194992.35,-4.92,7,1,9,Yes,Growth,Government,Low,2,Low Risk,1
MSA100241,70,19,26844.67,1911955.54,-7.94,8,1,9,Yes,Balanced,Corporate,High,6,Medium Risk,1
