ID,Work Item Type,Title 1,Title 2,Description
,Task,,Develop Logistic Regression model,Train and track a Logistic Regression candidate using the approved training dataset.
,Task,,Develop Decision Tree model,Train and track a Decision Tree candidate using consistent feature and evaluation logic.
,Task,,Develop Random Forest model,Train and track a Random Forest candidate using consistent feature and evaluation logic.
,Task,,Develop XGBoost or alternative candidate model,Train XGBoost or an agreed alternative candidate model subject to runtime and library availability.
,Task,,Perform hyperparameter tuning,Tune selected candidate-model parameters to improve validated performance; execute only if agreed as required.
,Task,,Track experiments in MLflow,"Log model parameters, metrics, artifacts and runs in MLflow for reproducibility and comparison."
2932058,,Story 4.4.3: Evaluate and Select Final Churn Model,,
,Task,,Evaluate ROC-AUC and PR-AUC,"Compare candidate models using ROC-AUC and PR-AUC, with emphasis on performance for the churn class."
,Task,,"Evaluate precision, recall and F1","Compare precision, recall and F1 at relevant classification thresholds."
,Task,,Review confusion matrix and lift,Assess prediction errors and model lift to understand practical churn-identification performance.
,Task,,Validate model calibration where applicable,Check whether predicted churn probabilities are suitably calibrated for risk scoring and business use.
,Task,,Compare candidate-model performance,"Compare candidate models consistently across technical metrics, stability and operational considerations."
,Task,,Select preferred final model,Select the preferred model based on agreed technical and business criteria.
,Task,,Document model-selection rationale,Record why the selected model was preferred and note key trade-offs versus alternative candidates.
2932060,,Story 4.4.4: Implement Model Explainability and Risk Drivers,,
,Task,,Generate global feature importance,Produce model-level feature importance to identify the strongest overall churn drivers.
,Task,,Implement account-level explainability,Generate account-level explanations showing the main factors influencing each churn-risk prediction.
,Task,,Generate churn and risk drivers,Transform explainability outputs into interpretable churn/risk-driver fields for downstream consumption.
,Task,,Define and validate risk bands,Define churn-risk bands from predicted probabilities and validate their population and observed behaviour.
,Task,,Review model results and drivers with Business SME,"Review model performance, risk bands and key drivers with the Business SME and capture feedback/sign-off."
2932069,,Story 4.5.1: Register and Manage Approved ML Model,,
,Task,,Register approved model in MLflow model registry,Register the selected churn model in the governed MLflow/Unity Catalog model registry.
,Task,,Configure model versioning,Ensure new model registrations create traceable versions with associated experiment and training metadata.
,Task,,Define Champion and Candidate promotion process,Define how model versions are promoted between Candidate and Champion states/aliases.
,Task,,Capture model metadata,"Record model version, training data reference, metrics and other required governance metadata."
,Task,,Validate model promotion,Test that the approved model version can be promoted and resolved correctly for downstream scoring.
,Task,,Define and test model rollback process,Document and test how scoring can revert to a previously approved model version if required.
2932090,,Story 4.5.2: Build and Schedule Churn Scoring Pipeline,,
,Task,,Build batch-scoring pipeline,Build the Databricks batch-scoring workflow using the approved model and latest eligible account-level data.
,Task,,Define scoring output schema,"Define the required account identifier, scoring date, prediction and model metadata fields in the output."
,Task,,Generate churn probability and predicted churn,Generate account-level churn probability and threshold-based predicted churn values.
,Task,,Generate risk bands and risk drivers,Add validated risk bands and account-level risk-driver outputs to the scoring result.
,Task,,Add scoring date and model-version metadata,Add traceability fields identifying when scoring ran and which registered model version produced each result.
,Task,,Validate scoring outputs,"Validate row counts, schema, nulls, probability ranges and account-level uniqueness in scoring results."
,Task,,Configure and schedule scoring job,Configure the Databricks job/workflow to execute scoring according to the approved refresh schedule.
2932106,,Story 4.5.3: Implement Model Monitoring and Validation,,
,Task,,Implement prediction monitoring,"Monitor prediction volumes, probability distribution and risk-band distribution across scoring runs."
,Task,,Implement data and feature drift monitoring,Monitor important model inputs for material distribution changes relative to the approved reference data.
,Task,,Implement realised model-performance monitoring,Calculate model performance once actual churn outcomes become available for previously scored observations.
,Task,,Perform backtesting and validation,Backtest the scoring/model logic on suitable historical periods to validate expected behaviour and stability.
,Task,,Define retraining criteria and strategy,"Document when retraining should be considered based on drift, performance deterioration or agreed review cadence."
,Task,,Document monitoring thresholds and actions,"Document alert thresholds, review ownership and expected actions when monitoring detects material changes."
2932115,,Story 4.5.4: Publish ML Outputs for Downstream Consumption,,
,Task,,Create and publish ML output table or interface,Publish approved account-level churn prediction outputs in the agreed Databricks table/view/interface.
,Task,,Validate downstream output schema,"Confirm required prediction, risk, driver, scoring-date and model-version fields are available and correctly typed."
,Task,,Enable Power BI and downstream consumption,Provide the agreed output source/interface for Power BI and other approved downstream consumers.
,Task,,Validate predictions with downstream team,Validate account-level prediction records and key fields with downstream reporting/consumer teams.
,Task,,Complete deployment and integration validation,"Confirm scheduled outputs are accessible, traceable and suitable for agreed downstream operational use."
